,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
EH,0.3508556611156486,0.11681378203463445,0.23376790282947696,0.3690687773512318,0.48702766891950067,0.32106120794125304,0.5293149211901081,0.5340375062449799,0.5234530756500247,0.637399719729633,0.0,0.2822309405795371,0.22125821152342903,0.5621869496948486,0.5743964808737023,0.6452840217946496,0.22176243732874285,0.3128865974505911,0.5682280026715616,0.5248282974452404,0.49999620654568605,0.5246187802648367,0.5066387070001587,1.0,0.2902120502833062,0.5777152049921597,0.48368856145984657,0.4522476294789509,0.4908888094450504,0.7050538551550071,0.46879435827165233,0.5939997078414889,0.5952605183586844,0.45228197387601493,0.5736395091606904,0.6227045800805173,0.7222778771597119,0.505414457676027,0.7953898290682099
ER,0.39333349727978334,0.29887587605655463,0.25215356589072313,0.4570665432963896,0.49546059039498574,0.29791364560403255,0.5125450546891338,0.5614923298251253,0.5118911296194291,0.6419345759269024,0.27659050605611435,0.0,0.2889761081872028,0.551582111854232,0.5777481174356462,0.6059111077086812,0.24093778008955083,0.3350555417761744,0.5859878098342477,0.532950894220142,0.4561524696100748,0.4972569061207572,0.49789170679866546,0.9290236793077213,0.3318915686491959,0.5695459365155575,0.5030889847335911,0.27530705439297903,0.48269169544850976,0.7212118120960987,0.5139920282340542,0.5794650350313244,0.5989490526847303,0.4187619162582086,0.5613692851663725,0.5913839100541356,0.7078925880267413,0.5103725982187036,0.8217563147687325
EY,0.3719314135306659,0.3524400010350231,0.27984352963877873,0.38012194437884883,0.5106410657499961,0.2814926562665727,0.5665405283924743,0.5372199278904668,0.523556882177443,0.6551765241971713,0.19687017248630462,0.2847489052349841,0.0,0.5440483508347601,0.586701274085362,0.6472459619787624,0.21923966240762718,0.12096813826481134,0.6035813782037762,0.5387187698550691,0.5026324469173059,0.5749477411563417,0.5134483433989899,0.9049151270605403,0.32441877419344317,0.556985568317787,0.475144790553393,0.44895604620056845,0.4763480152359797,0.6752523440948984,0.5012437008385972,0.5943209996068208,0.5740014477103353,0.4422737399239696,0.6080384859956551,0.5907121285996113,0.6964171957788133,0.5349663847538724,0.8003711942104382
F,0.5679783554352509,0.5426280180949319,0.5158011532216831,0.5189849516880162,0.6041436293573926,0.5371314011950309,0.35744727943022747,0.45928868389608135,0.5030956196417354,0.5621630862807223,0.4910068225910743,0.48649010793771663,0.4954393849233057,0.0,0.4614846872792995,0.569614898391083,0.5020697968489656,0.4937834047869134,0.5212967662324233,0.3766322111969659,0.5030977547095286,0.4621039545007086,0.4756846385385998,0.8697032883541046,0.5220956552628224,0.713528767530807,0.25565560093254347,0.4672946272958024,0.4057562799139443,0.5887236863944942,0.46747027957450155,0.41414162283832345,0.595347210310583,0.5376693084900287,0.26601067180774385,0.5322893422812319,0.6904729328847152,0.48059271619233096,0.6902272257439659
G,0.5219129093531686,0.5074244520699481,0.5333640689169535,0.509846866928404,0.6232142327181435,0.520097097166246,0.37113114415152815,0.54637282186696,0.35396892610222913,0.5266072618594921,0.48426781057665386,0.49110236414518427,0.5131976559930883,0.4460511969390639,0.0,0.5382053139251664,0.48813881908527257,0.4693035192472758,0.4223164815411071,0.18013030932418855,0.5090748190124486,0.4240465940939728,0.5119917908308926,0.7923646095580894,0.5516984521311654,0.746106989756016,0.4435096878302434,0.5070147526739657,0.5172075402346659,0.6394158408999726,0.4895935406305576,0.4928656809161809,0.6946067271526386,0.5820437401698758,0.3775159372043914,0.5294510471111585,0.6316372160324238,0.416289301216363,0.6243992449476286
HH,0.5401437352080837,0.5450471049779457,0.5317951757767352,0.5620066582830319,0.631061887043704,0.5508179700759713,0.45014801455200015,0.4624972708464232,0.455900124513483,0.41562093711361536,0.4844090531940145,0.4625944172963308,0.5076621811882394,0.49091281461276215,0.48155576939533273,0.0,0.5173846140373207,0.5226806520665341,0.505456368498266,0.4207931097640995,0.45458490280436936,0.4451544618536446,0.45298305105492387,0.7244649973316082,0.5402085659647757,0.6467557919165463,0.5162509605997824,0.45035314135506693,0.5035460198562447,0.5644492131433027,0.43472445283391686,0.514226465564232,0.573461549307318,0.5801045846437091,0.46995560573712764,0.5177871199487779,0.6218991405027116,0.5263570606765805,0.683518718623171
IH,0.35247850113272844,0.28388703228074647,0.22702712454026297,0.38335039676587424,0.44726631325427496,0.308609353768879,0.5328881461444491,0.5691938227516684,0.49298272175379854,0.6453857383823828,0.2256087218997195,0.24003036630338861,0.2841394982883303,0.5515627694093035,0.5623883052823495,0.660848420908142,0.0,0.34201801789917996,0.5636366443604698,0.5235630777221635,0.4914343741171567,0.4980246616188155,0.49413317452456945,0.9206638418681885,0.3070811376981384,0.5592539929022694,0.49897068854338894,0.44882608938782775,0.4983545696487341,0.7233547065698893,0.5047823946797949,0.5699997246817693,0.5922197021766225,0.44761106953401747,0.5671112226320055,0.5914953012908665,0.7349754575865136,0.49590964963522494,0.8198364848429319
IY,0.39970599279065716,0.3651559727310686,0.3326096477082795,0.4449434262069577,0.48546770004601514,0.3588987463773844,0.4905120876555332,0.5786770689915565,0.5184389394404186,0.6516893759525718,0.29361893909565656,0.3202206735272174,0.19987611968252197,0.5283610342291108,0.5255890013971758,0.6490304038953519,0.3125150349250334,0.0,0.5210793022289182,0.5368142409498022,0.506858186927204,0.5167467392038716,0.5127056984826267,0.8556778515507228,0.31594268953805726,0.5615896827594006,0.5003303997990123,0.4574619819647263,0.5111615463113411,0.6708148586823153,0.4755284862850735,0.5746236215657385,0.6349316689229952,0.4508937326622267,0.5477104807805037,0.5951195126560777,0.6761141867270649,0.5119149184052547,0.811853457450131
JH,0.5620830559734646,0.4829900720980492,0.5069444603035328,0.5867814454055438,0.5461726038289412,0.5847725057313623,0.4351939876439219,0.10247474006419205,0.39331655864106063,0.47586481300906835,0.48023983459831754,0.500351784561498,0.531587487456016,0.5046717486176444,0.4250502145399077,0.5657560638737025,0.49630013388988337,0.4723253923822904,0.0,0.5353070807387442,0.5237935383743562,0.44460425460709313,0.44275224472614955,0.834831783597543,0.5355869296415414,0.6999905011742106,0.5270132152168451,0.46356261336781585,0.48798114399275394,0.5550359970616414,0.44270572332769154,0.514153638201288,0.7019162383284728,0.5601960383112308,0.4215424113617978,0.5102898216597899,0.6361128987529123,0.3483716134409261,0.6523000273384643
K,0.5323065316201544,0.5108260315428209,0.47531650665638236,0.5182884267104519,0.5751858778199946,0.5208639946273327,0.42078679781844835,0.48121676089975723,0.5179695277841471,0.5641003160511195,0.4533950241504645,0.4649651301685743,0.48695285360786555,0.3649874199821753,0.22009745609964215,0.48776833013718196,0.4704896850048091,0.499694900399786,0.5471776793172689,0.0,0.4887061110555664,0.46466295749163605,0.45462184102238334,0.8790599511861815,0.5272984141982159,0.7245361869168113,0.3434477775510762,0.47323357818919326,0.44133870381608925,0.5994656097112386,0.3780955103586176,0.54055227624569,0.640181393337387,0.5881232163633321,0.44488753921140317,0.513306351409736,0.6621021811647884,0.5397324294105189,0.689070968853281
