,Word,POS,Title,Code,Level,Definition,Example,S_POS,T_IDX,Trigram,Visemes
138,email,noun,MESSAGE,"[ C,  U ]",A1,a message sent electronically,I got an email from Danielle yesterday.,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['i', 'b', 'e', 'l']"
139,health,noun,BODY,,A2,the condition of your body,to be in good/poor health ,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['e', 'e', 'l', 'th']"
140,health,noun,SUCCESS,,A1,how successful and strong something is,the financial health of the business,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['e', 'e', 'l', 'th']"
141,re,preposition,EMAIL,,,used in the subject line of an email (= line at the top of an email that tells you the subject of the message) to show that you are replying to an email that was sent to you with the same title,The email was titled 'Re: Our Meeting Next Week'.,ADP,0.0,"['ADP', 'DET', 'NOUN']","['r', 'e']"
142,re,preposition,LETTER,,,used in business letters to refer to a letter or something in a letter you have received and are replying to,Re your communication of 15 February...,ADP,0.0,"['ADP', 'DET', 'NOUN']","['r', 'e']"
143,next,adjective,AFTER,,A2,"The next time, event, person, or thing is the one nearest to now or the one that follows the present one",What time's the next train to London?,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'k', 's', 't']"
144,next,adjective,NEAR,,A2,The next place is the one nearest to the present one,She only lives in the next village.,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'k', 's', 't']"
145,go,verb,MOVE,,A1,to move or travel somewhere,I'd love to go to America.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
146,go,verb,DO SOMETHING,,A1,to move or travel somewhere in order to do something,Let's go for a walk.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
147,go,verb,DISAPPEAR,,B1,to disappear or no longer exist,When I turned round the man had gone.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
148,go,verb,CONTINUE,,A1,to continue to be in a particular state,We won't let anyone go hungry.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
149,go,verb,WORKING,,B2,to work correctly,Did you manage to get the car going?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
150,go,verb,STOP WORKING,,B2,to stop working correctly,"Her hearing is going, so speak loudly.",VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
151,go,verb,MATCH,,B1,"If two things go, they match each other",Any colour goes with jeans.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
152,go,verb,TIME,,B2,"If time goes, it passes",The day went very quickly.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
153,go,verb,SONG,,B2,to have a particular tune or words,I can't remember how it goes.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
154,go,verb,SOUND/MOVEMENT,,B2,to make a particular sound or movement,My dog goes like this when he wants some food.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e']"
155,work,verb,JOB,"[ I,  T ]",A1,"to do a job, especially the job you do to earn money",Helen works for a computer company.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'r', 'k']"
156,work,verb,MACHINE,[ I ],A2,"If a machine or piece of equipment works, it is not broken",Does this radio work?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'r', 'k']"
157,work,verb,SUCCEED,[ I ],B1,"If something works, it is effective and successful",Her plan to get rid of me didn't work.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'r', 'k']"
158,work,verb,EFFORT,"[ I,  T ]",A1,"to do something that needs a lot of time or effort, or to make someone do this",He's been working to improve his speed.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'r', 'k']"
159,last,adjective,MOST RECENT,[ always before noun ],A2,the most recent,What was the last film you saw?,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['l', 'e', 's', 't']"
160,last,adjective,ONE BEFORE PRESENT,[ always before noun ],A2,"The last book, house, job, etc is the one before the present one",My last house was half this size.,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['l', 'e', 's', 't']"
161,last,adjective,FINAL,,A2,happening or coming at the end,It's the last room on the left.,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['l', 'e', 's', 't']"
162,last,adjective,REMAINING,[ always before noun ],B1,only remaining,Who wants the last piece of cake?,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['l', 'e', 's', 't']"
163,music,noun,SOUNDS,,A1,"a pattern of sounds that is made by playing instruments or singing, or a recording of this",pop/dance music ,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['b', 'e', 'u', 's', 'e', 'k']"
